score_away,score_home,team_away,team_home,win_prob_away,win_prob_home
118,108,Warriors,Cavaliers,59,41
88,95,Kings,Thunder,11,89
109,94,Pacers,Jazz,26,74
102,113,Rockets,Clippers,52,48
79,97,Bucks,Heat,36,64
123,118,Pelicans,Knicks,50,50
120,97,Pacers,Suns,46,54
103,120,Trail Blazers,Timberwolves,22,78
107,101,Lakers,Mavericks,27,73
105,126,Kings,Clippers,14,86
101,91,Thunder,Hornets,53,47
113,119,Nets,Wizards,22,78
127,125,Warriors,Raptors,39,61
105,107,Pistons,Bulls,51,49
80,112,Nuggets,Spurs,25,75
95,97,Cavaliers,Pacers,45,55
119,125,Magic,Wizards,17,83
88,99,Jazz,Hornets,38,62
110,105,Nets,Hawks,41,59
108,94,Warriors,Bucks,64,36
108,118,Knicks,Timberwolves,16,84
113,119,Trail Blazers,Pelicans,37,63
78,87,Grizzlies,Nuggets,19,81
112,95,Rockets,Suns,71,29
114,103,Celtics,76ers,62,38
99,133,Cavaliers,Raptors,29,71
121,115,Clippers,Kings,61,39
81,93,Spurs,Lakers,69,31
115,111,Mavericks,Hornets,26,74
114,106,Heat,Pacers,31,69
107,104,Jazz,Wizards,31,69
122,119,Bulls,Knicks,32,68
114,80,Pistons,Nets,43,57
102,105,Pelicans,Grizzlies,53,47
88,104,Thunder,Timberwolves,26,74
103,110,Magic,Bucks,15,85
112,121,Trail Blazers,Rockets,18,82
110,97,Hawks,Nuggets,11,89
125,106,Clippers,Warriors,12,88
90,89,Heat,Raptors,21,79
117,106,Trail Blazers,Thunder,23,77
99,114,Magic,Mavericks,24,76
86,99,Kings,Lakers,27,73
96,109,Bucks,Pacers,43,57
114,113,Raptors,Nets,67,33
99,127,Cavaliers,Timberwolves,35,65
109,112,Pistons,Pelicans,32,68
116,107,Rockets,Bulls,69,31
107,100,Spurs,Kings,66,34
107,108,Hawks,Clippers,15,85
114,124,Nuggets,Warriors,17,83
102,103,Jazz,Heat,38,62
100,96,Knicks,Mavericks,32,68
100,114,Thunder,Suns,71,29
110,111,Spurs,Trail Blazers,50,50
113,132,Hawks,Lakers,35,65
121,105,Warriors,Clippers,69,31
87,85,Celtics,Nets,54,46
86,125,Bulls,Pacers,25,75
131,127,Cavaliers,Magic,70,30
101,108,Rockets,Pistons,67,33
110,103,Bucks,Wizards,31,69
98,116,Pelicans,Timberwolves,35,65
98,106,Nuggets,Kings,65,35
78,114,Pistons,76ers,34,66
84,91,Timberwolves,Celtics,36,64
103,107,Knicks,Heat,31,69
129,110,Raptors,Bucks,54,46
127,124,Bulls,Mavericks,28,72
89,103,Suns,Spurs,14,86
91,99,Jazz,Nuggets,23,77
102,100,Wizards,Grizzlies,56,44
89,110,Hawks,Trail Blazers,21,79
108,94,Hornets,Lakers,54,46
124,114,Warriors,Rockets,47,53
127,117,Thunder,Clippers,43,57
116,98,Rockets,Magic,77,23
103,121,Knicks,Wizards,20,80
106,112,Spurs,76ers,47,53
104,111,Pistons,Heat,40,60
97,98,Timberwolves,Nets,60,40
88,102,Cavaliers,Celtics,33,67
101,122,Pacers,Bucks,31,69
124,115,Raptors,Bulls,67,33
125,122,Warriors,Mavericks,71,29
108,98,Pelicans,Jazz,31,69
111,134,Suns,Nuggets,10,90
133,96,Thunder,Lakers,67,33
110,127,Trail Blazers,Cavaliers,20,80
100,91,Spurs,Knicks,59,41
103,104,Hawks,Suns,32,68
131,111,Hornets,Kings,56,44
105,113,Grizzlies,Clippers,25,75
127,131,Bucks,Raptors,22,78
95,98,Magic,Nets,34,66
96,114,Lakers,Timberwolves,14,86
124,120,Trail Blazers,Bulls,53,47
110,114,Bulls,Wizards,23,77
107,90,Timberwolves,Pacers,51,49
105,108,Nets,Celtics,18,82
98,106,Hornets,Clippers,33,67
116,113,Mavericks,Thunder,19,81
142,148,Lakers,Rockets,11,89
114,96,Grizzlies,Kings,36,64
123,110,76ers,Suns,42,58
117,111,Heat,Magic,42,58
105,103,Knicks,Pelicans,32,68
79,93,Spurs,Pistons,55,45
89,104,Trail Blazers,Hawks,65,35
101,104,Cavaliers,Jazz,45,55
128,141,Grizzlies,Warriors,10,90
107,102,76ers,Nuggets,19,81
103,121,Rockets,Wizards,53,47
98,111,Hawks,Raptors,10,90
111,87,Nets,Heat,25,75
128,120,Mavericks,Pelicans,25,75
107,119,Pacers,Bulls,47,53
97,95,Bucks,Thunder,17,83
111,101,Suns,Kings,37,63
111,100,Hornets,Warriors,8,92
121,106,Clippers,Lakers,50,50
89,102,Pistons,Magic,55,45
98,99,Rockets,Celtics,57,43
96,102,Timberwolves,Bucks,43,57
107,119,Knicks,Spurs,14,86
110,114,76ers,Trail Blazers,32,68
102,91,Celtics,Hornets,51,49
98,94,Mavericks,Pacers,27,73
99,113,Wizards,Hawks,66,34
113,128,Nets,Pelicans,17,83
125,128,Nuggets,Timberwolves,31,69
87,92,Knicks,Bulls,49,51
107,124,Raptors,Thunder,34,66
95,109,Cavaliers,Kings,80,20
109,99,Grizzlies,Lakers,26,74
101,126,Jazz,Warriors,10,90
83,107,Pacers,Pistons,41,59
93,98,Raptors,Mavericks,68,32
89,107,Magic,Heat,22,78
115,106,Bulls,Bucks,21,79
97,109,Nets,Spurs,15,85
97,99,Grizzlies,Suns,36,64
83,107,Jazz,Nuggets,25,75
95,122,Kings,Clippers,22,78
105,98,76ers,Knicks,37,63
92,99,Cavaliers,Warriors,22,78
111,103,Wizards,Celtics,29,71
107,112,Rockets,Thunder,48,52
121,104,Timberwolves,Lakers,57,43
86,102,76ers,Raptors,17,83
119,123,Nets,Pacers,19,81
106,111,Bucks,Hornets,45,55
103,130,Magic,Wizards,20,80
92,117,Bulls,Celtics,16,84
107,112,Mavericks,Hawks,53,47
112,115,Clippers,Grizzlies,47,53
109,94,Pelicans,Heat,39,61
103,89,Thunder,Jazz,30,70
96,81,Nuggets,Warriors,13,87
115,106,Timberwolves,Suns,62,38
95,92,Trail Blazers,Lakers,45,55
108,99,Spurs,Kings,72,28
