"","x"
"2461",-0.0501157142614482
"2462",-0.0437726904085332
"2463",-0.0446677037910858
"2464",-0.0526067707525071
"2465",-0.0530493411904186
"2466",-0.0477479879804744
"2467",-0.0531123594130812
"2468",-0.0478823043504913
"2469",-0.0524905928141016
"2470",-0.0422758434416312
"2471",-0.0493746080536526
"2472",-0.0460263558662866
"2473",-0.0454097462010436
"2474",-0.0421387943139645
"2475",-0.0473731575169461
"2476",-0.0552446875925478
"2477",-0.0550142553342451
"2478",-0.0623754023555325
"2479",-0.0496150964561761
"2480",-0.0546694064460091
"2481",-0.0506015517072503
"2482",-0.0499547705523919
"2483",-0.0579958620201835
"2484",-0.0534317050863999
"2485",-0.0455317815497549
"2486",-0.0439941479750719
"2487",-0.0366546843823351
"2488",-0.0264134406694073
"2489",-0.0349828889332763
"2490",-0.0343102395334091
"2491",-0.0433275082779385
"2492",-0.0559617381044638
"2493",-0.0462753453072061
"2494",-0.0442677716566841
"2495",-0.0589629455642718
"2496",-0.0554724600776106
"2497",-0.0509554496191658
"2498",-0.0531182102238185
"2499",-0.046812698873562
"2500",-0.0426413152971928
"2501",-0.0394591754810859
"2502",-0.0532729621756682
"2503",-0.0468650729483006
"2504",-0.052376350455979
"2505",-0.0528985476238908
"2506",-0.0468030176235107
"2507",-0.0465858688155226
"2508",-0.0363515956580033
"2509",-0.0521391981508089
"2510",-0.0513315317283625
"2511",-0.0581091845197814
"2512",-0.036078359571785
"2513",-0.0465995395699503
"2514",-0.0368923838509263
"2515",-0.0512545141572268
"2516",-0.0415254787493056
"2517",-0.0535846233070221
"2518",-0.0391568205445472
"2519",-0.0526853653082945
"2520",-0.0327705060451107
"2521",-0.0438773608950557
"2522",-0.0486410360303178
"2523",-0.0458716623385264
"2524",-0.0402870168535989
"2525",-0.0502018113102364
"2526",-0.0463081065378729
"2527",-0.0459132313191721
"2528",-0.0545879326581685
"2529",-0.0389125163179853
"2530",-0.0364970363190412
"2531",-0.0460782747306983
"2532",-0.0430754961206414
"2533",-0.0455521526752883
"2534",-0.0529605328254133
"2535",-0.0501390890433167
"2536",-0.045962803161954
"2537",-0.042771674537163
"2538",-0.0430051729939237
"2539",-0.045009001103512
"2540",-0.0545169279559038
"2541",-0.0549349945121392
"2542",-0.0376584975050189
"2543",-0.0476826535496
"2544",-0.045001393924426
"2545",-0.0521941657431203
"2546",-0.0549965932198964
"2547",-0.0468902288779388
"2548",-0.0523405329537685
"2549",-0.0585473835191183
"2550",-0.0552412372177607
"2551",-0.0379854091637977
"2552",-0.0415120561820662
"2553",-0.0582831255137432
"2554",-0.0537982994762559
"2555",-0.0534669970791978
"2556",-0.0568389704174176
"2557",-0.0556066680971962
"2558",-0.0545705198882572
"2559",-0.0422154353259158
"2560",-0.0354382324115616
"2561",-0.0402839591379489
"2562",-0.0480914318800466
"2563",-0.0496570006178297
"2564",-0.0464431139974709
"2565",-0.0473886199219008
"2566",-0.0335408004241906
"2567",-0.0418139570797489
"2568",-0.0432330238350792
"2569",-0.0522594123493262
"2570",-0.0430826681288049
"2571",-0.0453681153169737
"2572",-0.037417567134785
"2573",-0.0459581316586061
"2574",-0.0443325785135126
"2575",-0.0485614911279947
"2576",-0.0534382483460763
"2577",-0.0524421154061431
"2578",-0.0502200082736254
"2579",-0.0508103021907104
"2580",-0.0567700261842208
"2581",-0.0482580023257193
"2582",-0.0510218866153406
"2583",-0.0441795189380338
"2584",-0.0428881038603777
"2585",-0.0443984529384137
"2586",-0.0507112614421781
"2587",-0.0515569219106058
"2588",-0.0472805085103662
"2589",-0.0536906944763903
"2590",-0.0480417507628986
"2591",-0.0539830129162896
"2592",-0.0533677820106147
"2593",-0.0507704265708995
"2594",-0.046471939446497
"2595",-0.0482772565814899
"2596",-0.0475547205928789
"2597",-0.0522132065415909
"2598",-0.0562839501595477
"2599",-0.0360947189862311
"2600",-0.037305639122847
"2601",-0.052776774216343
"2602",-0.0530532583426119
"2603",-0.052061802275063
"2604",-0.0599479922366095
"2605",-0.0420639738497887
"2606",-0.0489076293918898
"2607",-0.0454683910196099
"2608",-0.0444156278404167
"2609",-0.040937562391653
"2610",-0.0434964590765988
"2611",-0.044337625534587
"2612",-0.052540290550298
"2613",-0.0545069707408321
"2614",-0.0538482670189254
"2615",-0.0556977037523737
"2616",-0.0397512147572408
"2617",-0.0524865506526238
"2618",-0.0510412571586714
"2619",-0.0533672072472473
"2620",-0.052987874716347
"2621",-0.0514064114909675
"2622",-0.0546128743190822
"2623",-0.0424538488369407
"2624",-0.0474777484546661
"2625",-0.0548248577664858
"2626",-0.0531548309179682
"2627",-0.045762760519307
"2628",-0.0575399107569061
"2629",-0.0532941054119819
"2630",-0.0425687279551526
"2631",-0.0476581435235734
"2632",-0.0447848870774453
"2633",-0.0485402873587595
"2634",-0.0366991658549463
"2635",-0.0538364155964009
"2636",-0.0465667575977078
"2637",-0.0420266034173451
"2638",-0.0471989863045722
"2639",-0.0517819292595817
"2640",-0.0496537638347464
"2641",-0.0485022899996568
"2642",-0.0507983927579822
"2643",-0.0533176990213029
"2644",-0.0559114601544184
"2645",-0.0626305269955075
"2646",-0.0498276224578144
"2647",-0.0539116812244279
"2648",-0.0510177695315461
"2649",-0.0568831240230573
"2650",-0.0570481793334642
"2651",-0.0394223080353694
"2652",-0.0527039913360815
"2653",-0.0463398571416932
"2654",-0.0439000637306187
"2655",-0.0463188482821448
"2656",-0.0466386057733101
"2657",-0.0523095127489216
"2658",-0.051988058023867
"2659",-0.0397194889676628
"2660",-0.0406130239305744
"2661",-0.0509577590282918
"2662",-0.0516841826738812
"2663",-0.0559327255459237
"2664",-0.0484354152408011
"2665",-0.0556292016385578
"2666",-0.0482734625515206
"2667",-0.0564859457401729
"2668",-0.0548680248352017
"2669",-0.0586556074872548
"2670",-0.0546287685480501
"2671",-0.0394713249824976
"2672",-0.0477806184168194
"2673",-0.045253181396322
"2674",-0.0685744775423386
"2675",-0.0475958767519656
"2676",-0.0592818241510425
"2677",-0.0496580342497746
"2678",-0.048728517687732
"2679",-0.0473751646083326
"2680",-0.0469473850380641
"2681",-0.0456718520744669
"2682",-0.0562297405641151
"2683",-0.0562476732091876
"2684",-0.0598272832775213
"2685",-0.0551787485636928
"2686",-0.0540703946469757
"2687",-0.0442417823672152
"2688",-0.0445597033233425
"2689",-0.039439160955838
"2690",-0.0602909210549199
"2691",-0.0442264022063233
"2692",-0.043677169811614
"2693",-0.0615024704066928
"2694",-0.0540731236621226
"2695",-0.0482100897909533
"2696",-0.0590691499556227
"2697",-0.0503714707443124
"2698",-0.0515185887688511
"2699",-0.0524876417439512
"2700",-0.0519294791208014
"2701",-0.0530885853492555
"2702",-0.0520856581537214
"2703",-0.0549526450450221
"2704",-0.0458388476038912
"2705",-0.0408674024261366
"2706",-0.0449281572125913
"2707",-0.0491238523831887
"2708",-0.0437398320773847
"2709",-0.0491691412661915
"2710",-0.0464232990688867
"2711",-0.0527622647893363
"2712",-0.0519642364936597
"2713",-0.0536816497908879
"2714",-0.0578276229631515
"2715",-0.0551390013393624
"2716",-0.0372889496593398
"2717",-0.0464487121374166
"2718",-0.0533833712889874
"2719",-0.0486545374431014
"2720",-0.059337550319705
"2721",-0.0493999194140119
"2722",-0.0472663018408714
"2723",-0.0554871699892594
"2724",-0.0439127969490698
"2725",-0.0447853190119194
"2726",-0.0418974957389633
"2727",-0.0488672529539303
"2728",-0.0493540550931227
"2729",-0.0415620010638542
"2730",-0.0370858260133557
"2731",-0.0349818214825298
"2732",-0.0499787323960041
"2733",-0.0465790086157881
"2734",-0.0474599151900622
"2735",-0.0524498852999422
"2736",-0.0429437716229379
"2737",-0.0443662164990751
"2738",-0.050649539078472
"2739",-0.0506033269572365
"2740",-0.0582515637318906
"2741",-0.0537844191211142
"2742",-0.036317726745978
"2743",-0.0357611461827339
"2744",-0.0513658067403308
"2745",-0.0444158383613082
"2746",-0.0506165853104339
"2747",-0.0557045421124976
"2748",-0.0527819114438243
"2749",-0.0511276358833859
"2750",-0.0458987909845803
"2751",-0.0550912289001521
"2752",-0.0585244374725539
"2753",-0.0531995576240649
"2754",-0.0495685703812789
"2755",-0.0603322477721649
"2756",-0.0472438130478641
"2757",-0.0478924245442882
"2758",-0.0432444178835766
"2759",-0.0478513776608036
"2760",-0.0472629287274453
"2761",-0.0400107774959323
"2762",-0.0446272404990745
"2763",-0.0522664942552027
"2764",-0.0522869403846424
"2765",-0.0580847700154312
"2766",-0.0552790283681614
"2767",-0.0556189895396092
"2768",-0.0546238526512761
"2769",-0.0547742760904967
"2770",-0.040386365680194
"2771",-0.0383544242246641
"2772",-0.0604674586697634
"2773",-0.0546370028990719
"2774",-0.0470655125848363
"2775",-0.0543369411671563
"2776",-0.0432399302151389
